AppId, UserId, TimeStamp, OnBattery, ScreenOn, BatterySaverActive, LowPowerEpochActive, Foreground, InteractivityState, Container, Committed, TimeInMSec, MeasuredBitmap, EnergyLoss, CPUEnergyConsumption, SocEnergyConsumption, DisplayEnergyConsumption, DiskEnergyConsumption, NetworkEnergyConsumption, MBBEnergyConsumption, OtherEnergyConsumption, EmiEnergyConsumption, CPUEnergyConsumptionWorkOnBehalf, CPUEnergyConsumptionAttributed, TotalEnergyConsumption
Microsoft.YourPhone_1.22082.117.0_x64__8wekyb3d8bbwe, S-1-5-21-2339632731-1895639542-1700588445-1001, 2022-10-17:11:44:00.0000, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 584506, b000000000, 0, 3659, 0, 0, 649, 0, 0, 0, 0, 56, 433, 4308
Microsoft.Windows.StartMenuExperienceHost_10.0.22000.778_neutral_neutral_cw5n1h2txyewy, S-1-5-21-2339632731-1895639542-1700588445-1001, 2022-10-17:11:44:00.0000, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 711064, b000000000, 0, 1800, 0, 0, 29, 0, 0, 0, 0, 137, 150, 1829
MicrosoftWindows.Client.CBS_1000.22000.1098.0_x64__cw5n1h2txyewy, S-1-5-21-2339632731-1895639542-1700588445-1001, 2022-10-17:11:44:00.0000, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 476453, b000000000, 0, 64, 0, 0, 2, 0, 0, 0, 0, 0, 0, 66
MicrosoftTeams_22227.300.1508.3394_x64__8wekyb3d8bbwe, S-1-5-21-2339632731-1895639542-1700588445-1001, 2022-10-17:11:44:00.0000, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 534949, b000000000, 0, 187, 0, 0, 0, 0, 0, 0, 0, 23, 23, 187
AD2F1837.HPThermalControl_1.11.4.0_x64__v10z8vjag6ke6, S-1-5-21-2339632731-1895639542-1700588445-1001, 2022-10-17:11:44:00.0000, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 534958, b000000000, 0, 6277, 0, 0, 467, 0, 0, 0, 0, 235, 4075, 6744
Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy, S-1-5-21-2339632731-1895639542-1700588445-1001, 2022-10-17:11:44:00.0000, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 120024, b000000000, 0, 422, 0, 0, 4, 0, 0, 0, 0, 7, 91, 426
Microsoft.Windows.ContentDeliveryManager_10.0.22000.1_neutral_neutral_cw5n1h2txyewy, S-1-5-21-2339632731-1895639542-1700588445-1001, 2022-10-17:11:44:00.0000, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 240024, b000000000, 0, 1668, 0, 0, 83, 0, 0, 0, 0, 21, 561, 1751
Microsoft.WindowsTerminal_1.15.2875.0_x64__8wekyb3d8bbwe, S-1-5-21-2339632731-1895639542-1700588445-1001, 2022-10-17:11:44:00.0000, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 826009, b000000000, 0, 571, 0, 0, 0, 0, 0, 0, 0, 3, 78, 571
microsoft.windowscommunicationsapps_16005.14326.20970.0_x64__8wekyb3d8bbwe, S-1-5-21-2339632731-1895639542-1700588445-1001, 2022-10-17:11:44:00.0000, FALSE, TRUE, FALSE, FALSE, FALSE, NotUnique, FALSE, TRUE, 160976, b000000000, 0, 616, 0, 0, 4, 0, 0, 0, 0, 334, 168, 620
\Device\HarddiskVolume4\Windows\System32\svchost.exe [netsvcs] [Winmgmt], S-1-5-18, 2022-10-17:11:44:00.0000, FALSE, TRUE, FALSE, FALSE, TRUE, NotUnique, FALSE, TRUE, 830437, b000000000, 0, 8543, 0, 0, 145, 0, 0, 0, 0, 706, 4986, 8688
